Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	52	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.94441103935	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	53	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.01882100105	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	54	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.08481001854	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	55	1_3	1	3	1	1	23_1_1	0	2	1	0	1.45774197578	321.0	277.0	318.0	274.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	56	1_2	1	2	1	1	23_1_1	0	-1	0	1	3.08107113838	234.0	-344.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	57	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.40314602852	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	58	1_2	1	2	1	4	23_1_4	0	2	1	0	1.16368699074	95.0	46.0	96.0	42.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	59	1_1	1	1	1	4	23_1_4	0	3	1	0	0.795655965805	-235.0	406.0	-230.0	408.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	60	1_4	1	4	1	3	23_1_3	0	1	1	0	1.25781488419	3.0	172.0	-1.0	170.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	61	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.23337006569	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	62	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.61318898201	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	63	1_3	1	3	1	4	23_1_4	0	-1	1	0	4.53918194771	-407.0	-359.0	-399.0	-355.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	64	ABS	0	0	1	2	24_1_2	NA	NA	0	1	5.36901497841	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	65	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.53165912628	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	66	1_2	1	2	1	3	23_1_3	0	1	0	1	6.21492099762	-188.0	-348.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	67	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.99783802032	None	None	None	None	1
